input,target
generate apa: Adik mengumpulkan sendok ke dalam wadah.,Apa yang Adik kumpulkan ke dalam wadah?
generate kemana: Adik mengumpulkan sendok ke dalam wadah.,Ke mana Adik mengumpulkan sendok?
generate siapa: Rina merasa senang membantu keluarga.,Siapa yang merasa membantu keluarga senang?
generate apa: Rina merasa senang membantu keluarga.,Apa yang Rina rasa senang?
generate siapa: Pagi hari Andi pergi ke sekolah.,Siapa yang pergi pagi hari ke sekolah?
generate kapan: Pagi hari Andi pergi ke sekolah.,Kapan Andi pergi ?
generate kemana: Pagi hari Andi pergi ke sekolah.,Ke mana Andi pergi ?
generate siapa: Andi berjalan kaki bersama Budi.,Siapa yang berjalan kaki bersama budi?
generate apa: Andi berjalan kaki bersama Budi.,Apa yang Andi jalan bersama budi?
generate siapa: Mereka melewati taman di dekat rumah.,Siapa yang melewati taman di dekat rumah?
generate apa: Mereka melewati taman di dekat rumah.,Apa yang Mereka lewati di dekat rumah?
generate dimana: Mereka melewati taman di dekat rumah.,Di mana Mereka melewati taman?
generate siapa: Burung bernyanyi di atas pohon.,Siapa yang bernyanyi di atas pohon?
generate dimana: Burung bernyanyi di atas pohon.,Di mana Burung bernyanyi ?
generate siapa: Andi membawa tas berwarna biru.,Siapa yang membawa tas?
generate apa: Andi membawa tas berwarna biru.,Apa yang Andi bawa?
generate siapa: Budi membawa bekal dari ibunya.,Siapa yang membawa bekal dari ibu nya?
generate apa: Budi membawa bekal dari ibunya.,Apa yang Budi bawa dari ibu nya?
generate darimana: Budi membawa bekal dari ibunya.,Dari mana Budi membawa bekal?
generate siapa: Mereka tiba di gerbang sekolah.,Siapa yang tiba di gerbang sekolah?
generate dimana: Mereka tiba di gerbang sekolah.,Di mana Mereka tiba ?
generate siapa: Guru menyambut siswa di depan kelas.,Siapa yang menyambut siswa di depan kelas?
generate apa: Guru menyambut siswa di depan kelas.,Apa yang Guru sambut di depan kelas?
generate dimana: Guru menyambut siswa di depan kelas.,Di mana Guru menyambut siswa?
generate siapa: Andi masuk ke kelas dengan tertib.,Siapa yang masuk ke kelas dengan tertib?
generate siapa: Budi duduk di bangku sebelah Andi.,Siapa yang duduk di bangku sebelah andi?
generate dimana: Budi duduk di bangku sebelah Andi.,Di mana Budi duduk ?
generate apa: Guru menjelaskan pelajaran matematika.,Apa yang menjelaskan pelajaran matematika?
generate apa: Guru menjelaskan pelajaran matematika.,Apa yang Guru jelaskan?
generate siapa: Andi mendengarkan penjelasan guru.,Siapa yang mendengarkan penjelasan guru?
generate apa: Andi mendengarkan penjelasan guru.,Apa yang Andi dengarkan?
generate siapa: Budi mencatat di buku tulis.,Siapa yang mencatat di buku tulis?
generate dimana: Budi mencatat di buku tulis.,Di mana Budi mencatat ?
generate siapa: Mereka mengerjakan soal dengan serius.,Siapa yang mengerjakan soal dengan serius?
generate apa: Mereka mengerjakan soal dengan serius.,Apa yang Mereka kerjakan dengan serius?
generate siapa: Guru memeriksa hasil pekerjaan siswa.,Siapa yang memeriksa hasil pekerjaan siswa?
generate apa: Guru memeriksa hasil pekerjaan siswa.,Apa yang Guru periksa?
generate siapa: Andi mendapat nilai yang baik.,Siapa yang mendapat nilai yang baik?
generate apa: Andi mendapat nilai yang baik.,Apa yang Andi dapat?
generate siapa: Budi juga mendapat nilai bagus.,Siapa yang mendapat nilai bagus juga?
generate apa: Budi juga mendapat nilai bagus.,Apa yang Budi dapat juga?
generate siapa: Saat istirahat mereka makan bersama.,Siapa yang makan bersama?
generate siapa: Andi membuka bekal nasi goreng.,Siapa yang membuka bekal nasi goreng?
generate apa: Andi membuka bekal nasi goreng.,Apa yang Andi buka?
generate siapa: Budi membuka bekal roti isi.,Siapa yang membuka bekal roti isi?
generate apa: Budi membuka bekal roti isi.,Apa yang Budi buka?
generate siapa: Mereka berbagi makanan di kantin.,Siapa yang berbagi makanan di kantin?
generate apa: Mereka berbagi makanan di kantin.,Apa yang Mereka bagi di kantin?
generate dimana: Mereka berbagi makanan di kantin.,Di mana Mereka berbagi makanan?
generate siapa: Setelah istirahat mereka kembali ke kelas.,Siapa yang kembali setelah istirahat ke kelas?
generate kapan: Setelah istirahat mereka kembali ke kelas.,Kapan mereka kembali ?
generate kemana: Setelah istirahat mereka kembali ke kelas.,Ke mana mereka kembali ?
generate siapa: Guru mengajar pelajaran bahasa Indonesia.,Siapa yang mengajar pelajaran bahasa Indonesia?
generate siapa: Guru mengajar pelajaran bahasa Indonesia.,Siapa yang Guru ajar?
generate siapa: Andi membaca teks dengan lantang.,Siapa yang membaca teks dengan lantang?
generate apa: Andi membaca teks dengan lantang.,Apa yang Andi baca dengan lantang?
generate siapa: Budi menulis jawaban di buku.,Siapa yang menulis jawaban di buku?
generate apa: Budi menulis jawaban di buku.,Apa yang Budi tulis di buku?
generate dimana: Budi menulis jawaban di buku.,Di mana Budi menulis jawaban?
generate siapa: Sore hari Siti bermain di halaman.,Siapa yang bermain sore hari di halaman?
generate dimana: Sore hari Siti bermain di halaman.,Di mana Siti bermain ?
generate siapa: Siti membawa boneka kesayangannya.,Siapa yang membawa boneka kesayangan nya?
generate apa: Siti membawa boneka kesayangannya.,Apa yang Siti bawa?
generate siapa: Teman Siti datang ke rumah.,Siapa yang datang ke rumah?
generate kemana: Teman Siti datang ke rumah.,Ke mana Teman Siti datang ?
generate siapa: Mereka bermain bersama di bawah pohon.,Siapa yang bermain bersama di bawah pohon?
generate siapa: Siti duduk di atas tikar.,Siapa yang duduk di atas tikar?
generate dimana: Siti duduk di atas tikar.,Di mana Siti duduk ?
generate apa: Temannya membawa mainan baru.,Apa yang membawa mainan baru?
generate apa: Temannya membawa mainan baru.,Apa yang Teman nya bawa?
generate siapa: Mereka saling bertukar mainan.,Siapa yang bertukar mainan saling?
generate apa: Mereka saling bertukar mainan.,Apa yang Mereka tukar saling?
generate siapa: Ibu memanggil mereka dari dalam rumah.,Siapa yang memanggil mereka dari dalam rumah?
generate apa: Ibu memanggil mereka dari dalam rumah.,Apa yang Ibu panggil dari dalam rumah?
generate darimana: Ibu memanggil mereka dari dalam rumah.,Dari mana Ibu memanggil mereka?
generate siapa: Ibu menyajikan kue di meja.,Siapa yang menyajikan kue di meja?
generate apa: Ibu menyajikan kue di meja.,Apa yang Ibu sajikan di meja?
generate dimana: Ibu menyajikan kue di meja.,Di mana Ibu menyajikan kue?
generate siapa: Siti mengambil kue dengan sopan.,Siapa yang mengambil kue dengan sopan?
generate apa: Siti mengambil kue dengan sopan.,Apa yang Siti ambil dengan sopan?
generate apa: Temannya minum air putih.,Apa yang minum air putih?
generate apa: Temannya minum air putih.,Apa yang Teman nya minum?
generate siapa: Mereka berbicara tentang sekolah.,Siapa yang berbicara tentang sekolah?
generate siapa: Siti menceritakan pelajaran hari ini.,Siapa yang menceritakan pelajaran hari ini?
generate apa: Siti menceritakan pelajaran hari ini.,Apa yang Siti ceritakan?
generate apa: Temannya mendengarkan dengan antusias.,Apa yang mendengarkan dengan antusias?
generate dimana: Mereka tertawa bersama di halaman.,Di mana  tertawa ?
generate siapa: Angin bertiup sejuk di sore hari.,Siapa yang bertiup sejuk di sore hari?
generate dimana: Angin bertiup sejuk di sore hari.,Di mana Angin bertiup ?
generate apa: Daun bergoyang di atas pohon.,Apa yang bergoyang di atas pohon?
generate dimana: Daun bergoyang di atas pohon.,Di mana Daun bergoyang ?
generate siapa: Siti merasa senang bermain.,Siapa yang merasa bermain senang?
generate apa: Temannya juga merasa gembira.,Apa yang merasa juga gembira?
generate siapa: Ibu mengajak mereka masuk ke rumah.,Siapa yang mengajak masuk mereka ke rumah?
generate apa: Ibu mengajak mereka masuk ke rumah.,Apa yang Ibu ajak ke rumah?
generate kemana: Ibu mengajak mereka masuk ke rumah.,Ke mana Ibu mengajak masuk mereka?
generate siapa: Siti merapikan mainannya.,Siapa yang merapikan mainan nya?
generate apa: Siti merapikan mainannya.,Apa yang Siti rapikan?
generate apa: Temannya berpamitan kepada ibu Siti.,Apa yang berpamitan kepada ibu siti?
generate siapa: Siti mengantar temannya ke depan rumah.,Siapa yang mengantar teman nya ke depan rumah?
generate apa: Siti mengantar temannya ke depan rumah.,Apa yang Siti antar ke depan rumah?
generate kemana: Siti mengantar temannya ke depan rumah.,Ke mana Siti mengantar teman nya?
generate siapa: Siti kembali ke rumah dengan bahagia.,Siapa yang kembali ke rumah dengan bahagia?
generate kemana: Siti kembali ke rumah dengan bahagia.,Ke mana Siti kembali ?
generate siapa: Pagi hari Dina membantu ibu.,Siapa yang membantu ibu pagi hari?
generate apa: Pagi hari Dina membantu ibu.,Apa yang Dina bantu pagi hari?
generate kapan: Pagi hari Dina membantu ibu.,Kapan Dina membantu ibu?
generate siapa: Dina menyapu lantai ruang tamu.,Siapa yang menyapu lantai ruang tamu?
generate apa: Ibu mencuci pakaian di halaman.,Apa yang mencuci pakaian di halaman?
generate apa: Ibu mencuci pakaian di halaman.,Apa yang Ibu cuci di halaman?
generate dimana: Ibu mencuci pakaian di halaman.,Di mana Ibu mencuci pakaian?
generate siapa: Dina mengambil sapu dari gudang.,Siapa yang mengambil sapu dari gudang?
generate apa: Dina mengambil sapu dari gudang.,Apa yang Dina ambil dari gudang?
generate darimana: Dina mengambil sapu dari gudang.,Dari mana Dina mengambil sapu?
generate apa: Ibu menjemur pakaian di tali.,Apa yang menjemur pakaian di tali?
generate apa: Ibu menjemur pakaian di tali.,Apa yang Ibu jemur di tali?
generate dimana: Ibu menjemur pakaian di tali.,Di mana Ibu menjemur pakaian?
generate siapa: Dina membersihkan debu di meja.,Siapa yang membersihkan debu di meja?
generate apa: Dina membersihkan debu di meja.,Apa yang Dina bersihkan di meja?
generate dimana: Dina membersihkan debu di meja.,Di mana Dina membersihkan debu?
generate siapa: Ayah memperbaiki kursi di teras.,Siapa yang memperbaiki kursi di teras?
generate apa: Ayah memperbaiki kursi di teras.,Apa yang Ayah baiki di teras?
generate dimana: Ayah memperbaiki kursi di teras.,Di mana Ayah memperbaiki kursi?
generate siapa: Adik menggambar di buku gambar.,Siapa yang menggambar di buku gambar?
generate dimana: Adik menggambar di buku gambar.,Di mana Adik menggambar ?
generate siapa: Dina mengelap jendela dengan kain.,Siapa yang mengelap jendela dengan kain?
generate apa: Dina mengelap jendela dengan kain.,Apa yang Dina kelap dengan kain?
generate apa: Ibu memasak sayur di dapur.,Apa yang memasak sayur di dapur?
generate apa: Ibu memasak sayur di dapur.,Apa yang Ibu pasak di dapur?
generate dimana: Ibu memasak sayur di dapur.,Di mana Ibu memasak sayur?
generate apa: Aroma masakan terasa harum.,Apa yang terasa harum?
generate siapa: Dina menata kursi di ruang makan.,Siapa yang menata kursi di ruang makan?
generate apa: Dina menata kursi di ruang makan.,Apa yang Dina tata di ruang makan?
generate dimana: Dina menata kursi di ruang makan.,Di mana Dina menata kursi?
generate siapa: Ayah masuk ke dalam rumah.,Siapa yang masuk ke dalam rumah?
generate kemana: Ayah masuk ke dalam rumah.,Ke mana Ayah masuk ?
generate siapa: Adik menunjukkan gambar kepada ayah.,Siapa yang menunjukkan gambar kepada ayah?
generate apa: Adik menunjukkan gambar kepada ayah.,Apa yang Adik tunjukkan kepada ayah?
generate siapa: Ayah memuji hasil gambar adik.,Siapa yang memuji hasil gambar adik?
generate siapa: Dina membantu ibu menyiapkan makan siang.,Siapa yang membantu menyiapkan makan siang?
generate siapa: Mereka makan bersama di meja.,Siapa yang makan bersama di meja?
generate dimana: Mereka makan bersama di meja.,Di mana Mereka makan ?
generate siapa: Ibu menuangkan air ke gelas.,Siapa yang menuangkan air ke gelas?
generate apa: Ibu menuangkan air ke gelas.,Apa yang Ibu tuangkan ke gelas?
generate kemana: Ibu menuangkan air ke gelas.,Ke mana Ibu menuangkan air?
generate siapa: Dina makan dengan tertib.,Siapa yang makan dengan tertib?
generate siapa: Adik duduk dengan rapi.,Siapa yang duduk dengan rapi?
generate siapa: Ayah bercerita tentang pekerjaan.,Siapa yang bercerita tentang pekerjaan?
generate siapa: Dina mendengarkan dengan baik.,Siapa yang mendengarkan dengan baik?
generate siapa: Setelah makan Dina mencuci piring.,Siapa yang mencuci makan piring?
generate apa: Setelah makan Dina mencuci piring.,Apa yang Dina cucikan?
generate apa: Ibu mengelap meja makan.,Apa yang mengelap meja?
generate apa: Rumah menjadi bersih dan rapi.,Apa yang menjadi bersih dan rapi?
generate siapa: Rudi pergi ke pasar bersama ibu.,Siapa yang pergi ke pasar bersama ibu?
generate kemana: Rudi pergi ke pasar bersama ibu.,Ke mana Rudi pergi ?
generate siapa: Rudi berjalan di samping ibu.,Siapa yang berjalan di samping ibu?
generate dimana: Rudi berjalan di samping ibu.,Di mana Rudi berjalan ?
generate apa: Ibu membeli sayur dari pedagang.,Apa yang membeli sayur dari pedagang?
generate apa: Ibu membeli sayur dari pedagang.,Apa yang Ibu beli dari pedagang?
generate darimana: Ibu membeli sayur dari pedagang.,Dari mana Ibu membeli sayur?
generate siapa: Rudi membawa kantong belanja.,Siapa yang membawa kantong belanja?
generate apa: Rudi membawa kantong belanja.,Apa yang Rudi bawa?
generate apa: Pedagang menawarkan buah segar.,Apa yang menawarkan buah segar?
generate apa: Pedagang menawarkan buah segar.,Apa yang Pedagang tawarkan?
generate apa: Ibu memilih apel merah.,Apa yang memilih apel merah?
generate siapa: Rudi menghitung jumlah buah.,Siapa yang menghitung jumlah buah?
generate apa: Rudi menghitung jumlah buah.,Apa yang Rudi hitung?
generate apa: Ibu membayar di kasir pasar.,Apa yang membayar di kasir pasar?
generate dimana: Ibu membayar di kasir pasar.,Di mana Ibu membayar ?
generate siapa: Rudi membantu membawa barang.,Siapa yang membantu membawa barang?
generate apa: Rudi membantu membawa barang.,Apa yang Rudi bantu?
generate siapa: Mereka keluar dari pasar bersama.,Siapa yang keluar dari pasar bersama?
generate darimana: Mereka keluar dari pasar bersama.,Dari mana Mereka keluar ?
generate siapa: Rudi melihat penjual mainan.,Siapa yang melihat penjual mainan?
generate apa: Rudi melihat penjual mainan.,Apa yang Rudi lihat?
generate siapa: Rudi meminta izin kepada ibu.,Siapa yang meminta izin kepada ibu?
generate apa: Rudi meminta izin kepada ibu.,Apa yang Rudi pinta kepada ibu?
generate siapa: Ibu mengizinkan Rudi melihat mainan.,Siapa yang mengizinkan melihat mainan?
generate siapa: Rudi memilih bola kecil.,Siapa yang memilih bola kecil?
generate apa: Rudi memilih bola kecil.,Apa yang Rudi pilih?
generate siapa: Ibu membeli bola untuk Rudi.,Siapa yang membeli bola untuk rudi?
generate apa: Ibu membeli bola untuk Rudi.,Apa yang Ibu beli untuk rudi?
generate siapa: Rudi merasa sangat senang.,Siapa yang merasa sangat senang?
generate siapa: Mereka berjalan pulang ke rumah.,Siapa yang berjalan pulang ke rumah?
generate kemana: Mereka berjalan pulang ke rumah.,Ke mana Mereka berjalan pulang ?
generate siapa: Rudi membawa bola di tangan.,Siapa yang membawa bola di tangan?
generate apa: Rudi membawa bola di tangan.,Apa yang Rudi bawa di tangan?
generate dimana: Rudi membawa bola di tangan.,Di mana Rudi membawa bola?
generate apa: Ibu membawa belanjaan di tas.,Apa yang membawa belanjaan di tas?
generate apa: Ibu membawa belanjaan di tas.,Apa yang Ibu bawa di tas?
generate dimana: Ibu membawa belanjaan di tas.,Di mana Ibu membawa belanjaan?
generate siapa: Sesampainya di rumah mereka beristirahat.,Siapa yang beristirahat di rumah?
generate dimana: Sesampainya di rumah mereka beristirahat.,Di mana mereka beristirahat ?
generate siapa: Rudi bermain bola di halaman.,Siapa yang bermain bola di halaman?
generate apa: Rudi bermain bola di halaman.,Apa yang Rudi main di halaman?
generate dimana: Rudi bermain bola di halaman.,Di mana Rudi bermain bola?
generate apa: Ibu menyimpan belanjaan di dapur.,Apa yang menyimpan belanjaan di dapur?
generate apa: Ibu menyimpan belanjaan di dapur.,Apa yang Ibu simpan di dapur?
generate siapa: Ayah datang dari kantor.,Siapa yang datang dari kantor?
generate darimana: Ayah datang dari kantor.,Dari mana Ayah datang ?
generate siapa: Rudi menunjukkan bola kepada ayah.,Siapa yang menunjukkan bola kepada ayah?
generate apa: Rudi menunjukkan bola kepada ayah.,Apa yang Rudi tunjukkan kepada ayah?
generate siapa: Pagi hari Beni membaca buku.,Siapa yang membaca buku pagi hari?
generate apa: Pagi hari Beni membaca buku.,Apa yang Beni baca pagi hari?
generate kapan: Pagi hari Beni membaca buku.,Kapan Beni membaca buku?
generate siapa: Beni duduk di kursi belajar.,Siapa yang duduk di kursi belajar?
generate siapa: Ibu memanggil Beni dari dapur.,Siapa yang memanggil Beni dari dapur?
generate siapa: Ibu memanggil Beni dari dapur.,Siapa yang Ibu panggil dari dapur?
generate darimana: Ibu memanggil Beni dari dapur.,Dari mana Ibu memanggil Beni?
generate siapa: Beni menutup buku pelajaran.,Siapa yang menutup buku pelajaran?
generate apa: Beni menutup buku pelajaran.,Apa yang Beni tutup?
generate siapa: Ibu meminta bantuan Beni.,Siapa yang meminta bantuan Beni?
generate siapa: Ibu meminta bantuan Beni.,Siapa yang Ibu pinta?
generate siapa: Beni mengambil air di sumur.,Siapa yang mengambil air di sumur?
generate apa: Beni mengambil air di sumur.,Apa yang Beni ambil di sumur?
generate dimana: Beni mengambil air di sumur.,Di mana Beni mengambil air?
generate siapa: Beni menuangkan air ke dalam panci.,Siapa yang menuangkan air ke dalam panci?
generate apa: Beni menuangkan air ke dalam panci.,Apa yang Beni tuangkan ke dalam panci?
generate kemana: Beni menuangkan air ke dalam panci.,Ke mana Beni menuangkan air?
generate apa: Ibu mengaduk masakan dengan sendok.,Apa yang mengaduk masakan dengan sendok?
generate apa: Ibu mengaduk masakan dengan sendok.,Apa yang Ibu kaduk dengan sendok?
generate apa: Aroma masakan terasa enak.,Apa yang terasa enak?
generate siapa: Beni mencuci tangan di wastafel.,Siapa yang mencuci tangan di wastafel?
generate apa: Beni mencuci tangan di wastafel.,Apa yang Beni cuci di wastafel?
generate dimana: Beni mencuci tangan di wastafel.,Di mana Beni mencuci tangan?
generate apa: Ibu menyiapkan makan pagi.,Apa yang menyiapkan makan pagi?
generate siapa: Ayah duduk di ruang makan.,Siapa yang duduk di ruang makan?
generate siapa: Beni membawa piring ke meja.,Siapa yang membawa piring ke meja?
generate apa: Beni membawa piring ke meja.,Apa yang Beni bawa ke meja?
generate kemana: Beni membawa piring ke meja.,Ke mana Beni membawa piring?
generate siapa: Mereka makan bersama di pagi hari.,Siapa yang makan bersama di pagi hari?
generate kapan: Mereka makan bersama di pagi hari.,Kapan Mereka makan ?
generate dimana: Mereka makan bersama di pagi hari.,Di mana Mereka makan ?
generate siapa: Ayah berbicara tentang pekerjaan.,Siapa yang berbicara tentang pekerjaan?
generate apa: Ibu mendengarkan dengan tenang.,Apa yang mendengarkan dengan tenang?
generate siapa: Beni menghabiskan makanannya.,Siapa yang menghabiskan makanan nya?
generate apa: Beni menghabiskan makanannya.,Apa yang Beni habiskan?
generate siapa: Beni membuka buku di meja.,Siapa yang membuka buku di meja?
generate apa: Beni membuka buku di meja.,Apa yang Beni buka di meja?
generate dimana: Beni membuka buku di meja.,Di mana Beni membuka buku?
generate apa: Ibu membersihkan dapur.,Apa yang membersihkan dapur?
generate apa: Ibu membersihkan dapur.,Apa yang Ibu bersihkan?
generate siapa: Ayah bersiap pergi ke kantor.,Siapa yang bersiap pergi ke kantor?
generate kemana: Ayah bersiap pergi ke kantor.,Ke mana Ayah bersiap pergi ?
generate siapa: Beni membaca dengan serius.,Siapa yang membaca dengan serius?
generate siapa: Ibu memberi semangat kepada Beni.,Siapa yang memberi semangat kepada beni?
generate siapa: Beni merasa termotivasi untuk belajar.,Siapa yang merasa termotivasi?
generate siapa: Pagi hari Tono pergi ke sekolah.,Siapa yang pergi pagi hari ke sekolah?
generate kapan: Pagi hari Tono pergi ke sekolah.,Kapan Tono pergi ?
generate kemana: Pagi hari Tono pergi ke sekolah.,Ke mana Tono pergi ?
generate siapa: Tono memakai seragam rapi.,Siapa yang memakai seragam rapi?
generate apa: Tono memakai seragam rapi.,Apa yang Tono pakai?
generate siapa: Ibu menyiapkan bekal untuk Tono.,Siapa yang menyiapkan bekal untuk Tono?
generate apa: Ibu menyiapkan bekal untuk Tono.,Apa yang Ibu siapkan untuk Tono?
generate siapa: Tono memasukkan buku ke tas.,Siapa yang memasukkan buku ke tas?
generate apa: Tono memasukkan buku ke tas.,Apa yang Tono masukkan ke tas?
generate kemana: Tono memasukkan buku ke tas.,Ke mana Tono memasukkan buku?
generate siapa: Ayah mengantar Tono ke sekolah.,Siapa yang mengantar Tono ke sekolah?
generate siapa: Ayah mengantar Tono ke sekolah.,Siapa yang Ayah antar ke sekolah?
generate kemana: Ayah mengantar Tono ke sekolah.,Ke mana Ayah mengantar Tono?
generate siapa: Tono duduk di belakang sepeda.,Siapa yang duduk di belakang sepeda?
generate dimana: Tono duduk di belakang sepeda.,Di mana Tono duduk ?
generate siapa: Mereka melewati jalan desa.,Siapa yang melewati jalan desa?
generate siapa: Angin bertiup di pagi hari.,Siapa yang bertiup di pagi hari?
generate kapan: Angin bertiup di pagi hari.,Kapan Angin bertiup ?
generate dimana: Angin bertiup di pagi hari.,Di mana Angin bertiup ?
generate siapa: Tono tiba di sekolah tepat waktu.,Siapa yang tiba di sekolah tepat waktu?
generate dimana: Tono tiba di sekolah tepat waktu.,Di mana Tono tiba ?
generate siapa: Guru menyambut siswa di gerbang.,Siapa yang menyambut siswa di gerbang?
generate apa: Guru menyambut siswa di gerbang.,Apa yang Guru sambut di gerbang?
generate dimana: Guru menyambut siswa di gerbang.,Di mana Guru menyambut siswa?
generate siapa: Tono masuk ke kelas dengan tertib.,Siapa yang masuk ke kelas dengan tertib?
generate kemana: Tono masuk ke kelas dengan tertib.,Ke mana Tono masuk ?
generate apa: Temannya menyapa Tono dengan ramah.,Apa yang menyapa Tono dengan ramah?
generate siapa: Temannya menyapa Tono dengan ramah.,Siapa yang Teman nya sapa dengan ramah?
generate siapa: Guru mengajar pelajaran sains.,Siapa yang mengajar pelajaran sains?
generate apa: Guru mengajar pelajaran sains.,Apa yang Guru ajar?
generate siapa: Tono mendengarkan dengan fokus.,Siapa yang mendengarkan dengan fokus?
generate apa: Temannya mencatat di buku.,Apa yang mencatat di buku?
generate dimana: Temannya mencatat di buku.,Di mana Teman nya mencatat ?
generate siapa: Guru memberi tugas kepada siswa.,Siapa yang memberi tugas kepada siswa?
generate apa: Guru memberi tugas kepada siswa.,Apa yang Guru beri kepada siswa?
generate siapa: Tono mengerjakan tugas dengan teliti.,Siapa yang mengerjakan tugas dengan teliti?
generate apa: Tono mengerjakan tugas dengan teliti.,Apa yang Tono kerjakan dengan teliti?
generate dimana: Saat istirahat Tono bermain di lapangan.,Di mana  bermain ?
generate apa: Temannya bermain bola bersama.,Apa yang bermain bola bersama?
generate apa: Temannya bermain bola bersama.,Apa yang Teman nya main bersama?
generate siapa: Tono berlari di lapangan sekolah.,Siapa yang berlari di lapangan sekolah?
generate dimana: Tono berlari di lapangan sekolah.,Di mana Tono berlari ?
generate siapa: Guru melanjutkan pelajaran.,Siapa yang melanjutkan pelajaran?
generate apa: Guru melanjutkan pelajaran.,Apa yang Guru lanjutkan?
generate siapa: Tono menjawab pertanyaan guru.,Siapa yang menjawab pertanyaan guru?
generate apa: Tono menjawab pertanyaan guru.,Apa yang Tono jawab?
generate siapa: Guru memberi pujian kepada Tono.,Siapa yang memberi pujian kepada tono?
generate apa: Guru memberi pujian kepada Tono.,Apa yang Guru beri kepada tono?
generate siapa: Tono pulang ke rumah dengan senang.,Siapa yang pulang ke rumah dengan senang?
generate kemana: Tono pulang ke rumah dengan senang.,Ke mana Tono pulang ?
