id_teks,id_kalimat,kalimat,subjek,predikat,objek,keterangan,pertanyaan,cosine_similarity
1,14,Adik minum teh dengan hati-hati.,Adik,minum,teh,dengan hati-hati,Apa yang minum teh dengan hati-hati?,0.8942
1,14,Adik minum teh dengan hati-hati.,Adik,minum,teh,dengan hati-hati,Apa yang Adik minum dengan hati-hati?,0.6509
1,15,Ayah bercerita tentang pekerjaan di kantor.,Ayah,bercerita,,tentang pekerjaan di kantor,Siapa yang bercerita tentang pekerjaan di kantor?,0.8395
1,15,Ayah bercerita tentang pekerjaan di kantor.,Ayah,bercerita,,tentang pekerjaan di kantor,Di mana Ayah bercerita ?,0.2287
1,16,Ibu mendengarkan cerita ayah dengan tenang.,Ibu,mendengarkan,cerita ayah,dengan tenang,Siapa yang mendengarkan cerita ayah dengan tenang?,0.7432
1,16,Ibu mendengarkan cerita ayah dengan tenang.,Ibu,mendengarkan,cerita ayah,dengan tenang,Apa yang Ibu dengarkan dengan tenang?,0.5879
1,17,Rina bertanya tentang rencana hari ini.,Rina,bertanya,,tentang rencana hari ini,Siapa yang bertanya tentang rencana hari ini?,0.6847
1,18,Ayah menjawab pertanyaan Rina dengan jelas.,Ayah,menjawab,pertanyaan Rina,dengan jelas,Siapa yang menjawab pertanyaan Rina dengan jelas?,0.7474
1,18,Ayah menjawab pertanyaan Rina dengan jelas.,Ayah,menjawab,pertanyaan Rina,dengan jelas,Siapa yang Ayah jawab dengan jelas?,0.415
1,19,Setelah makan mereka membersihkan meja.,mereka,membersihkan makan,meja,,Siapa yang membersihkan makan meja?,0.7449
1,19,Setelah makan mereka membersihkan meja.,mereka,membersihkan makan,meja,,Apa yang mereka bersihkan?,0.5223
1,20,Rina mencuci piring di wastafel.,Rina,mencuci,piring,di wastafel,Siapa yang mencuci piring di wastafel?,0.7371
1,20,Rina mencuci piring di wastafel.,Rina,mencuci,piring,di wastafel,Apa yang Rina cuci di wastafel?,0.8137
1,20,Rina mencuci piring di wastafel.,Rina,mencuci,piring,di wastafel,Di mana Rina mencuci piring?,0.6868
1,21,Ibu mengelap meja dengan kain bersih.,Ibu,mengelap,meja,dengan kain bersih,Apa yang mengelap meja dengan kain bersih?,0.7208
1,21,Ibu mengelap meja dengan kain bersih.,Ibu,mengelap,meja,dengan kain bersih,Apa yang Ibu kelap dengan kain bersih?,0.7053
1,22,Ayah menyapu lantai ruang makan.,Ayah,menyapu,lantai ruang,,Siapa yang menyapu lantai ruang?,0.7119
1,22,Ayah menyapu lantai ruang makan.,Ayah,menyapu,lantai ruang,,Apa yang Ayah sapu?,0.2895
1,23,Adik mengumpulkan sendok ke dalam wadah.,Adik,mengumpulkan,sendok,ke dalam wadah,Siapa yang mengumpulkan sendok ke dalam wadah?,0.8101
1,23,Adik mengumpulkan sendok ke dalam wadah.,Adik,mengumpulkan,sendok,ke dalam wadah,Apa yang Adik kumpulkan ke dalam wadah?,0.6072
1,23,Adik mengumpulkan sendok ke dalam wadah.,Adik,mengumpulkan,sendok,ke dalam wadah,Ke mana Adik mengumpulkan sendok?,0.6759
1,25,Rina merasa senang membantu keluarga.,Rina,merasa membantu,keluarga,senang,Siapa yang merasa membantu keluarga senang?,0.6507
1,25,Rina merasa senang membantu keluarga.,Rina,merasa membantu,keluarga,senang,Apa yang Rina rasa senang?,0.6521
2,1,Pagi hari Andi pergi ke sekolah.,Andi,pergi,,pagi hari ke sekolah,Siapa yang pergi pagi hari ke sekolah?,0.757
2,1,Pagi hari Andi pergi ke sekolah.,Andi,pergi,,pagi hari ke sekolah,Kapan Andi pergi ?,0.3878
2,1,Pagi hari Andi pergi ke sekolah.,Andi,pergi,,pagi hari ke sekolah,Ke mana Andi pergi ?,0.4405
2,2,Andi berjalan kaki bersama Budi.,Andi,berjalan,kaki,bersama budi,Siapa yang berjalan kaki bersama budi?,0.5687
2,2,Andi berjalan kaki bersama Budi.,Andi,berjalan,kaki,bersama budi,Apa yang Andi jalan bersama budi?,0.3848
2,3,Mereka melewati taman di dekat rumah.,Mereka,melewati,taman,di dekat rumah,Siapa yang melewati taman di dekat rumah?,0.8328
2,3,Mereka melewati taman di dekat rumah.,Mereka,melewati,taman,di dekat rumah,Apa yang Mereka lewati di dekat rumah?,0.607
2,3,Mereka melewati taman di dekat rumah.,Mereka,melewati,taman,di dekat rumah,Di mana Mereka melewati taman?,0.6929
2,4,Burung bernyanyi di atas pohon.,Burung,bernyanyi,,di atas pohon,Siapa yang bernyanyi di atas pohon?,0.7411
2,4,Burung bernyanyi di atas pohon.,Burung,bernyanyi,,di atas pohon,Di mana Burung bernyanyi ?,0.7312
2,5,Andi membawa tas berwarna biru.,Andi,membawa,tas,,Siapa yang membawa tas?,0.6143
2,5,Andi membawa tas berwarna biru.,Andi,membawa,tas,,Apa yang Andi bawa?,0.409
2,6,Budi membawa bekal dari ibunya.,Budi,membawa,bekal,dari ibu nya,Siapa yang membawa bekal dari ibu nya?,0.6997
2,6,Budi membawa bekal dari ibunya.,Budi,membawa,bekal,dari ibu nya,Apa yang Budi bawa dari ibu nya?,0.7351
2,6,Budi membawa bekal dari ibunya.,Budi,membawa,bekal,dari ibu nya,Dari mana Budi membawa bekal?,0.5239
2,7,Mereka tiba di gerbang sekolah.,Mereka,tiba,,di gerbang sekolah,Siapa yang tiba di gerbang sekolah?,0.8743
2,7,Mereka tiba di gerbang sekolah.,Mereka,tiba,,di gerbang sekolah,Di mana Mereka tiba ?,0.4272
2,8,Guru menyambut siswa di depan kelas.,Guru,menyambut,siswa,di depan kelas,Siapa yang menyambut siswa di depan kelas?,0.7974
2,8,Guru menyambut siswa di depan kelas.,Guru,menyambut,siswa,di depan kelas,Apa yang Guru sambut di depan kelas?,0.6487
2,8,Guru menyambut siswa di depan kelas.,Guru,menyambut,siswa,di depan kelas,Di mana Guru menyambut siswa?,0.7759
2,9,Andi masuk ke kelas dengan tertib.,Andi,masuk,,ke kelas dengan tertib,Siapa yang masuk ke kelas dengan tertib?,0.8411
2,9,Andi masuk ke kelas dengan tertib.,Andi,masuk,,ke kelas dengan tertib,Ke mana Andi masuk ?,0.292
2,10,Budi duduk di bangku sebelah Andi.,Budi,duduk,,di bangku sebelah andi,Siapa yang duduk di bangku sebelah andi?,0.541
2,10,Budi duduk di bangku sebelah Andi.,Budi,duduk,,di bangku sebelah andi,Di mana Budi duduk ?,0.67
2,11,Guru menjelaskan pelajaran matematika.,Guru,menjelaskan,pelajaran matematika,,Apa yang menjelaskan pelajaran matematika?,0.819
2,11,Guru menjelaskan pelajaran matematika.,Guru,menjelaskan,pelajaran matematika,,Apa yang Guru jelaskan?,0.5755
2,12,Andi mendengarkan penjelasan guru.,Andi,mendengarkan,penjelasan guru,,Siapa yang mendengarkan penjelasan guru?,0.8587
2,12,Andi mendengarkan penjelasan guru.,Andi,mendengarkan,penjelasan guru,,Apa yang Andi dengarkan?,0.4462
2,13,Budi mencatat di buku tulis.,Budi,mencatat,,di buku tulis,Siapa yang mencatat di buku tulis?,0.7085
2,13,Budi mencatat di buku tulis.,Budi,mencatat,,di buku tulis,Di mana Budi mencatat ?,0.5806
2,14,Mereka mengerjakan soal dengan serius.,Mereka,mengerjakan,soal,dengan serius,Siapa yang mengerjakan soal dengan serius?,0.6154
2,14,Mereka mengerjakan soal dengan serius.,Mereka,mengerjakan,soal,dengan serius,Apa yang Mereka kerjakan dengan serius?,0.7113
2,15,Guru memeriksa hasil pekerjaan siswa.,Guru,memeriksa,hasil pekerjaan siswa,,Siapa yang memeriksa hasil pekerjaan siswa?,0.7952
2,15,Guru memeriksa hasil pekerjaan siswa.,Guru,memeriksa,hasil pekerjaan siswa,,Apa yang Guru periksa?,0.6325
2,16,Andi mendapat nilai yang baik.,Andi,mendapat,nilai yang baik,,Siapa yang mendapat nilai yang baik?,0.7128
2,16,Andi mendapat nilai yang baik.,Andi,mendapat,nilai yang baik,,Apa yang Andi dapat?,0.5151
2,17,Budi juga mendapat nilai bagus.,Budi,mendapat,nilai bagus,juga,Siapa yang mendapat nilai bagus juga?,0.7837
2,17,Budi juga mendapat nilai bagus.,Budi,mendapat,nilai bagus,juga,Apa yang Budi dapat juga?,0.4214
2,18,Saat istirahat mereka makan bersama.,mereka,makan,,bersama,Siapa yang makan bersama?,0.6418
2,19,Andi membuka bekal nasi goreng.,Andi,membuka,bekal nasi goreng,,Siapa yang membuka bekal nasi goreng?,0.8394
2,19,Andi membuka bekal nasi goreng.,Andi,membuka,bekal nasi goreng,,Apa yang Andi buka?,0.4333
2,20,Budi membuka bekal roti isi.,Budi,membuka,bekal roti isi,,Siapa yang membuka bekal roti isi?,0.6963
2,20,Budi membuka bekal roti isi.,Budi,membuka,bekal roti isi,,Apa yang Budi buka?,0.596
2,21,Mereka berbagi makanan di kantin.,Mereka,berbagi,makanan,di kantin,Siapa yang berbagi makanan di kantin?,0.8363
2,21,Mereka berbagi makanan di kantin.,Mereka,berbagi,makanan,di kantin,Apa yang Mereka bagi di kantin?,0.3651
2,21,Mereka berbagi makanan di kantin.,Mereka,berbagi,makanan,di kantin,Di mana Mereka berbagi makanan?,0.7941
2,22,Setelah istirahat mereka kembali ke kelas.,mereka,kembali,,setelah istirahat ke kelas,Siapa yang kembali setelah istirahat ke kelas?,0.8232
2,22,Setelah istirahat mereka kembali ke kelas.,mereka,kembali,,setelah istirahat ke kelas,Kapan mereka kembali ?,0.3785
2,22,Setelah istirahat mereka kembali ke kelas.,mereka,kembali,,setelah istirahat ke kelas,Ke mana mereka kembali ?,0.3765
2,23,Guru mengajar pelajaran bahasa Indonesia.,Guru,mengajar,pelajaran bahasa Indonesia,,Siapa yang mengajar pelajaran bahasa Indonesia?,0.8893
2,23,Guru mengajar pelajaran bahasa Indonesia.,Guru,mengajar,pelajaran bahasa Indonesia,,Siapa yang Guru ajar?,0.5157
2,24,Andi membaca teks dengan lantang.,Andi,membaca,teks,dengan lantang,Siapa yang membaca teks dengan lantang?,0.8474
2,24,Andi membaca teks dengan lantang.,Andi,membaca,teks,dengan lantang,Apa yang Andi baca dengan lantang?,0.6093
2,25,Budi menulis jawaban di buku.,Budi,menulis,jawaban,di buku,Siapa yang menulis jawaban di buku?,0.7836
2,25,Budi menulis jawaban di buku.,Budi,menulis,jawaban,di buku,Apa yang Budi tulis di buku?,0.7701
2,25,Budi menulis jawaban di buku.,Budi,menulis,jawaban,di buku,Di mana Budi menulis jawaban?,0.7243
3,1,Sore hari Siti bermain di halaman.,Siti,bermain,,sore hari di halaman,Siapa yang bermain sore hari di halaman?,0.6947
3,1,Sore hari Siti bermain di halaman.,Siti,bermain,,sore hari di halaman,Di mana Siti bermain ?,0.6649
3,2,Siti membawa boneka kesayangannya.,Siti,membawa,boneka kesayangan nya,,Siapa yang membawa boneka kesayangan nya?,0.8603
3,2,Siti membawa boneka kesayangannya.,Siti,membawa,boneka kesayangan nya,,Apa yang Siti bawa?,0.4211
3,3,Teman Siti datang ke rumah.,Teman Siti,datang,,ke rumah,Siapa yang datang ke rumah?,0.6316
3,3,Teman Siti datang ke rumah.,Teman Siti,datang,,ke rumah,Ke mana Teman Siti datang ?,0.621
3,4,Mereka bermain bersama di bawah pohon.,Mereka,bermain,,bersama di bawah pohon,Siapa yang bermain bersama di bawah pohon?,0.8711
3,4,Mereka bermain bersama di bawah pohon.,Mereka,bermain,,bersama di bawah pohon,Di mana Mereka bermain ?,0.3111
3,5,Siti duduk di atas tikar.,Siti,duduk,,di atas tikar,Siapa yang duduk di atas tikar?,0.7183
3,5,Siti duduk di atas tikar.,Siti,duduk,,di atas tikar,Di mana Siti duduk ?,0.7327
3,6,Temannya membawa mainan baru.,Teman nya,membawa,mainan baru,,Apa yang membawa mainan baru?,0.8712
3,6,Temannya membawa mainan baru.,Teman nya,membawa,mainan baru,,Apa yang Teman nya bawa?,0.5119
3,7,Mereka saling bertukar mainan.,Mereka,bertukar,mainan,saling,Siapa yang bertukar mainan saling?,0.8642
3,7,Mereka saling bertukar mainan.,Mereka,bertukar,mainan,saling,Apa yang Mereka tukar saling?,0.4642
3,8,Ibu memanggil mereka dari dalam rumah.,Ibu,memanggil,mereka,dari dalam rumah,Siapa yang memanggil mereka dari dalam rumah?,0.7726
3,8,Ibu memanggil mereka dari dalam rumah.,Ibu,memanggil,mereka,dari dalam rumah,Apa yang Ibu panggil dari dalam rumah?,0.7367
3,8,Ibu memanggil mereka dari dalam rumah.,Ibu,memanggil,mereka,dari dalam rumah,Dari mana Ibu memanggil mereka?,0.5588
3,9,Ibu menyajikan kue di meja.,Ibu,menyajikan,kue,di meja,Siapa yang menyajikan kue di meja?,0.7029
3,9,Ibu menyajikan kue di meja.,Ibu,menyajikan,kue,di meja,Apa yang Ibu sajikan di meja?,0.4298
3,9,Ibu menyajikan kue di meja.,Ibu,menyajikan,kue,di meja,Di mana Ibu menyajikan kue?,0.7697
3,10,Siti mengambil kue dengan sopan.,Siti,mengambil,kue,dengan sopan,Siapa yang mengambil kue dengan sopan?,0.7223
3,10,Siti mengambil kue dengan sopan.,Siti,mengambil,kue,dengan sopan,Apa yang Siti ambil dengan sopan?,0.5718
3,11,Temannya minum air putih.,Teman nya,minum,air putih,,Apa yang minum air putih?,0.7525
3,11,Temannya minum air putih.,Teman nya,minum,air putih,,Apa yang Teman nya minum?,0.5687
3,12,Mereka berbicara tentang sekolah.,Mereka,berbicara,,tentang sekolah,Siapa yang berbicara tentang sekolah?,0.9013
3,13,Siti menceritakan pelajaran hari ini.,Siti,menceritakan,pelajaran hari ini,,Siapa yang menceritakan pelajaran hari ini?,0.7229
3,13,Siti menceritakan pelajaran hari ini.,Siti,menceritakan,pelajaran hari ini,,Apa yang Siti ceritakan?,0.7409
3,14,Temannya mendengarkan dengan antusias.,Teman nya,mendengarkan,,dengan antusias,Apa yang mendengarkan dengan antusias?,0.7621
3,15,Mereka tertawa bersama di halaman.,,tertawa,,bersama di halaman,Di mana  tertawa ?,0.5852
3,16,Angin bertiup sejuk di sore hari.,Angin,bertiup,,sejuk di sore hari,Siapa yang bertiup sejuk di sore hari?,0.6717
3,16,Angin bertiup sejuk di sore hari.,Angin,bertiup,,sejuk di sore hari,Di mana Angin bertiup ?,0.6147
3,17,Daun bergoyang di atas pohon.,Daun,bergoyang,,di atas pohon,Apa yang bergoyang di atas pohon?,0.8616
3,17,Daun bergoyang di atas pohon.,Daun,bergoyang,,di atas pohon,Di mana Daun bergoyang ?,0.3536
3,18,Siti merasa senang bermain.,Siti,merasa bermain,,senang,Siapa yang merasa bermain senang?,0.5719
3,19,Temannya juga merasa gembira.,Teman nya,merasa,,juga gembira,Apa yang merasa juga gembira?,0.7793
3,20,Matahari mulai terbenam di barat.,,terbenam,,mulai di barat,Di mana  terbenam ?,0.1329
3,21,Ibu mengajak mereka masuk ke rumah.,Ibu,mengajak masuk,mereka,ke rumah,Siapa yang mengajak masuk mereka ke rumah?,0.7001
3,21,Ibu mengajak mereka masuk ke rumah.,Ibu,mengajak masuk,mereka,ke rumah,Apa yang Ibu ajak ke rumah?,0.5801
3,21,Ibu mengajak mereka masuk ke rumah.,Ibu,mengajak masuk,mereka,ke rumah,Ke mana Ibu mengajak masuk mereka?,0.5192
3,22,Siti merapikan mainannya.,Siti,merapikan,mainan nya,,Siapa yang merapikan mainan nya?,0.6558
3,22,Siti merapikan mainannya.,Siti,merapikan,mainan nya,,Apa yang Siti rapikan?,0.6806
3,23,Temannya berpamitan kepada ibu Siti.,Teman nya,berpamitan,,kepada ibu siti,Apa yang berpamitan kepada ibu siti?,0.4756
3,24,Siti mengantar temannya ke depan rumah.,Siti,mengantar,teman nya,ke depan rumah,Siapa yang mengantar teman nya ke depan rumah?,0.6684
3,24,Siti mengantar temannya ke depan rumah.,Siti,mengantar,teman nya,ke depan rumah,Apa yang Siti antar ke depan rumah?,0.6363
3,24,Siti mengantar temannya ke depan rumah.,Siti,mengantar,teman nya,ke depan rumah,Ke mana Siti mengantar teman nya?,0.6947
3,25,Siti kembali ke rumah dengan bahagia.,Siti,kembali,,ke rumah dengan bahagia,Siapa yang kembali ke rumah dengan bahagia?,0.7838
3,25,Siti kembali ke rumah dengan bahagia.,Siti,kembali,,ke rumah dengan bahagia,Ke mana Siti kembali ?,0.5027
4,1,Pagi hari Dina membantu ibu.,Dina,membantu,ibu,pagi hari,Siapa yang membantu ibu pagi hari?,0.7692
4,1,Pagi hari Dina membantu ibu.,Dina,membantu,ibu,pagi hari,Apa yang Dina bantu pagi hari?,0.6725
4,1,Pagi hari Dina membantu ibu.,Dina,membantu,ibu,pagi hari,Kapan Dina membantu ibu?,0.7406
4,2,Dina menyapu lantai ruang tamu.,Dina,menyapu,lantai ruang tamu,,Siapa yang menyapu lantai ruang tamu?,0.8311
4,2,Dina menyapu lantai ruang tamu.,Dina,menyapu,lantai ruang tamu,,Apa yang Dina sapu?,0.199
4,3,Ibu mencuci pakaian di halaman.,Ibu,mencuci,pakaian,di halaman,Apa yang mencuci pakaian di halaman?,0.7623
4,3,Ibu mencuci pakaian di halaman.,Ibu,mencuci,pakaian,di halaman,Apa yang Ibu cuci di halaman?,0.7692
4,3,Ibu mencuci pakaian di halaman.,Ibu,mencuci,pakaian,di halaman,Di mana Ibu mencuci pakaian?,0.67
4,4,Dina mengambil sapu dari gudang.,Dina,mengambil,sapu,dari gudang,Siapa yang mengambil sapu dari gudang?,0.6826
4,4,Dina mengambil sapu dari gudang.,Dina,mengambil,sapu,dari gudang,Apa yang Dina ambil dari gudang?,0.8001
4,4,Dina mengambil sapu dari gudang.,Dina,mengambil,sapu,dari gudang,Dari mana Dina mengambil sapu?,0.749
4,5,Ibu menjemur pakaian di tali.,Ibu,menjemur,pakaian,di tali,Apa yang menjemur pakaian di tali?,0.7577
4,5,Ibu menjemur pakaian di tali.,Ibu,menjemur,pakaian,di tali,Apa yang Ibu jemur di tali?,0.6859
4,5,Ibu menjemur pakaian di tali.,Ibu,menjemur,pakaian,di tali,Di mana Ibu menjemur pakaian?,0.6996
4,6,Dina membersihkan debu di meja.,Dina,membersihkan,debu,di meja,Siapa yang membersihkan debu di meja?,0.7803
4,6,Dina membersihkan debu di meja.,Dina,membersihkan,debu,di meja,Apa yang Dina bersihkan di meja?,0.7314
4,6,Dina membersihkan debu di meja.,Dina,membersihkan,debu,di meja,Di mana Dina membersihkan debu?,0.6067
4,7,Ayah memperbaiki kursi di teras.,Ayah,memperbaiki,kursi,di teras,Siapa yang memperbaiki kursi di teras?,0.7923
4,7,Ayah memperbaiki kursi di teras.,Ayah,memperbaiki,kursi,di teras,Apa yang Ayah baiki di teras?,0.4319
4,7,Ayah memperbaiki kursi di teras.,Ayah,memperbaiki,kursi,di teras,Di mana Ayah memperbaiki kursi?,0.723
4,8,Adik menggambar di buku gambar.,Adik,menggambar,,di buku gambar,Siapa yang menggambar di buku gambar?,0.7338
4,8,Adik menggambar di buku gambar.,Adik,menggambar,,di buku gambar,Di mana Adik menggambar ?,0.7084
4,9,Dina mengelap jendela dengan kain.,Dina,mengelap,jendela,dengan kain,Siapa yang mengelap jendela dengan kain?,0.7891
4,9,Dina mengelap jendela dengan kain.,Dina,mengelap,jendela,dengan kain,Apa yang Dina kelap dengan kain?,0.6048
4,10,Ibu memasak sayur di dapur.,Ibu,memasak,sayur,di dapur,Apa yang memasak sayur di dapur?,0.7141
4,10,Ibu memasak sayur di dapur.,Ibu,memasak,sayur,di dapur,Apa yang Ibu pasak di dapur?,0.3638
4,10,Ibu memasak sayur di dapur.,Ibu,memasak,sayur,di dapur,Di mana Ibu memasak sayur?,0.6726
4,11,Aroma masakan terasa harum.,Aroma masakan,terasa,,harum,Apa yang terasa harum?,0.4122
4,12,Dina menata kursi di ruang makan.,Dina,menata,kursi,di ruang makan,Siapa yang menata kursi di ruang makan?,0.7206
4,12,Dina menata kursi di ruang makan.,Dina,menata,kursi,di ruang makan,Apa yang Dina tata di ruang makan?,0.5899
4,12,Dina menata kursi di ruang makan.,Dina,menata,kursi,di ruang makan,Di mana Dina menata kursi?,0.5573
4,13,Ayah masuk ke dalam rumah.,Ayah,masuk,,ke dalam rumah,Siapa yang masuk ke dalam rumah?,0.8059
4,13,Ayah masuk ke dalam rumah.,Ayah,masuk,,ke dalam rumah,Ke mana Ayah masuk ?,0.5033
4,14,Adik menunjukkan gambar kepada ayah.,Adik,menunjukkan,gambar,kepada ayah,Siapa yang menunjukkan gambar kepada ayah?,0.8377
4,14,Adik menunjukkan gambar kepada ayah.,Adik,menunjukkan,gambar,kepada ayah,Apa yang Adik tunjukkan kepada ayah?,0.7178
4,15,Ayah memuji hasil gambar adik.,Ayah,memuji,hasil gambar adik,,Siapa yang memuji hasil gambar adik?,0.8896
4,15,Ayah memuji hasil gambar adik.,Ayah,memuji,hasil gambar adik,,Apa yang Ayah puji?,0.2549
4,16,Dina membantu ibu menyiapkan makan siang.,Dina,membantu menyiapkan,makan siang,,Siapa yang membantu menyiapkan makan siang?,0.7255
4,16,Dina membantu ibu menyiapkan makan siang.,Dina,membantu menyiapkan,makan siang,,Apa yang Dina bantukan?,0.2754
4,17,Mereka makan bersama di meja.,Mereka,makan,,bersama di meja,Siapa yang makan bersama di meja?,0.7768
4,17,Mereka makan bersama di meja.,Mereka,makan,,bersama di meja,Di mana Mereka makan ?,0.4709
4,18,Ibu menuangkan air ke gelas.,Ibu,menuangkan,air,ke gelas,Siapa yang menuangkan air ke gelas?,0.7441
4,18,Ibu menuangkan air ke gelas.,Ibu,menuangkan,air,ke gelas,Apa yang Ibu tuangkan ke gelas?,0.714
4,18,Ibu menuangkan air ke gelas.,Ibu,menuangkan,air,ke gelas,Ke mana Ibu menuangkan air?,0.435
4,19,Dina makan dengan tertib.,Dina,makan,,dengan tertib,Siapa yang makan dengan tertib?,0.7639
4,20,Adik duduk dengan rapi.,Adik,duduk,,dengan rapi,Siapa yang duduk dengan rapi?,0.6052
4,21,Ayah bercerita tentang pekerjaan.,Ayah,bercerita,,tentang pekerjaan,Siapa yang bercerita tentang pekerjaan?,0.8033
4,22,Dina mendengarkan dengan baik.,Dina,mendengarkan,,dengan baik,Siapa yang mendengarkan dengan baik?,0.5718
4,23,Setelah makan Dina mencuci piring.,Dina,mencuci makan,piring,,Siapa yang mencuci makan piring?,0.7077
4,23,Setelah makan Dina mencuci piring.,Dina,mencuci makan,piring,,Apa yang Dina cucikan?,0.4284
4,24,Ibu mengelap meja makan.,Ibu,mengelap,meja,,Apa yang mengelap meja?,0.4987
4,24,Ibu mengelap meja makan.,Ibu,mengelap,meja,,Apa yang Ibu kelap?,0.2066
4,25,Rumah menjadi bersih dan rapi.,Rumah,menjadi,,bersih dan rapi,Apa yang menjadi bersih dan rapi?,0.5363
5,1,Rudi pergi ke pasar bersama ibu.,Rudi,pergi,,ke pasar bersama ibu,Siapa yang pergi ke pasar bersama ibu?,0.6817
5,1,Rudi pergi ke pasar bersama ibu.,Rudi,pergi,,ke pasar bersama ibu,Ke mana Rudi pergi ?,0.51
5,2,Rudi berjalan di samping ibu.,Rudi,berjalan,,di samping ibu,Siapa yang berjalan di samping ibu?,0.7751
5,2,Rudi berjalan di samping ibu.,Rudi,berjalan,,di samping ibu,Di mana Rudi berjalan ?,0.5199
5,3,Pasar terlihat ramai pada pagi hari.,,terlihat,,ramai pada pagi hari,Kapan  terlihat ?,0.1792
5,4,Ibu membeli sayur dari pedagang.,Ibu,membeli,sayur,dari pedagang,Apa yang membeli sayur dari pedagang?,0.8339
